number,value,datetime_start,datetime_complete,duration,params_audit_pressure,params_capacity_lag,params_cost_shifting_intensity,params_discharge_delay_base,params_political_salience,state
11,0.05226556375038191,2025-12-26 18:02:48.412939,2025-12-26 18:02:50.012685,0 days 00:00:01.599746,0.7714157288516674,0.40618942434009464,0.3127087471211478,1.2538239430497748,0.8754064928017733,COMPLETE
12,0.0634603340229466,2025-12-26 18:02:50.012832,2025-12-26 18:02:51.616435,0 days 00:00:01.603603,0.7618330890178208,0.387948758195763,0.3170892263626578,1.2106968780319622,0.8769316995843575,COMPLETE
13,0.07451458344224458,2025-12-26 18:02:51.616584,2025-12-26 18:02:53.215271,0 days 00:00:01.598687,0.8084995228701395,0.3555193726591631,0.3450940461198108,1.1945947338049676,0.6216538972464042,COMPLETE
14,0.05781102841666957,2025-12-26 18:02:53.215416,2025-12-26 18:02:54.818764,0 days 00:00:01.603348,0.8353219261446531,0.49163843467508794,0.2704226157347119,1.232668638577023,0.8974159734126107,COMPLETE
15,0.08151199600101725,2025-12-26 18:02:54.818915,2025-12-26 18:02:56.416562,0 days 00:00:01.597647,0.32945411727994856,0.31496098313623744,0.7742709315814804,1.0864972460078302,0.6551811318813998,COMPLETE
16,0.03787511712250114,2025-12-26 18:02:56.416710,2025-12-26 18:02:58.020955,0 days 00:00:01.604245,0.7035218396046695,0.4297910457700376,0.420190360811432,1.2965046575508796,0.7657813242985307,COMPLETE
17,0.08151199600101725,2025-12-26 18:02:58.021108,2025-12-26 18:02:59.627729,0 days 00:00:01.606621,0.5159032825610151,0.44165033038941737,0.4353162271473444,1.0919348850762383,0.3618457108164169,COMPLETE
18,0.04137355875618824,2025-12-26 18:02:59.627879,2025-12-26 18:03:01.224412,0 days 00:00:01.596533,0.6669514744833012,0.3159049013250334,0.39393068481536747,1.3203112352716295,0.730401136709739,COMPLETE
19,0.06922423594123947,2025-12-26 18:03:01.224556,2025-12-26 18:03:02.826994,0 days 00:00:01.602438,0.39305352284621864,0.2909508759436127,0.4418145368396079,1.0716788014766072,0.7254485594952755,COMPLETE
20,0.04627423991024459,2025-12-26 18:03:02.827136,2025-12-26 18:03:04.429755,0 days 00:00:01.602619,0.8942190248143055,0.434015653444568,0.6129766143415447,1.2903418574826022,0.5678709627789356,COMPLETE
21,0.04672317392835539,2025-12-26 18:03:04.429902,2025-12-26 18:03:06.033379,0 days 00:00:01.603477,0.856483472555481,0.43684244383799814,0.6009523265101936,1.2976355978241008,0.5721150523035432,COMPLETE
22,0.07399546284049725,2025-12-26 18:03:06.033525,2025-12-26 18:03:07.638535,0 days 00:00:01.605010,0.7082439735409859,0.3263813216016794,0.7219297155502644,1.1657555828530808,0.7703727647392452,COMPLETE
23,0.03740368434184194,2025-12-26 18:03:07.638684,2025-12-26 18:03:09.240340,0 days 00:00:01.601656,0.993417050318681,0.43663486971499327,0.4185898459200793,1.2971889103038676,0.5781093611687558,COMPLETE
24,0.05181842396955355,2025-12-26 18:03:09.240494,2025-12-26 18:03:10.840870,0 days 00:00:01.600376,0.9687092660912753,0.21964818684487017,0.41668377287966235,1.3978387140923985,0.39800485700679294,COMPLETE
25,0.05679446497601079,2025-12-26 18:03:10.841031,2025-12-26 18:03:12.443961,0 days 00:00:01.602930,0.6875962023752985,0.46538976478826377,0.39498965665588887,0.9652341339158734,0.8275135032011292,COMPLETE
26,0.07756617581208763,2025-12-26 18:03:12.444109,2025-12-26 18:03:14.039773,0 days 00:00:01.595664,0.552556472021557,0.41294420472466736,0.23584161918947977,1.1451895969129795,0.7125139719649269,COMPLETE
27,0.04031755330483332,2025-12-26 18:03:14.039925,2025-12-26 18:03:15.650945,0 days 00:00:01.611020,0.9947069260452717,0.33297609471254125,0.48302111156312266,1.3170740803961942,0.5713260800591538,COMPLETE
28,0.049271146333116606,2025-12-26 18:03:15.651096,2025-12-26 18:03:17.256118,0 days 00:00:01.605022,0.9864834399367217,0.3540396252670856,0.4841162340299875,1.2711861402710478,0.41373900797841545,COMPLETE
29,0.04883920194711973,2025-12-26 18:03:17.256268,2025-12-26 18:03:18.859048,0 days 00:00:01.602780,0.9034387434778192,0.3937686685944122,0.5532998771294512,1.33798831027828,0.5681775661861679,COMPLETE
