t,N,P,within4_proxy,u,a,g,anchor,p_agree
48,92.5,0.0,0.67,0.0,0.0,880.9629042463562,0.0,0.765527950310559
49,95.375,0.0,0.67,0.0,0.0,922.6616797042745,0.0,0.765527950310559
50,102.25,0.022499999999999964,0.6385000000000001,0.0,0.0,894.8872507123089,0.0,0.765527950310559
51,101.125,0.011249999999999982,0.6542500000000001,0.0,0.0,894.8217404388455,0.0,0.765527950310559
52,106.0,0.06000000000000005,0.586,0.0,0.0,928.9862149349304,0.0,0.765527950310559
53,113.875,0.13874999999999993,0.4757500000000001,0.0,0.0,747.4733899623777,1.0,0.46752795031055894
54,116.75,0.16749999999999998,0.43550000000000005,0.0,0.0,716.0115903341721,1.0,0.46752795031055894
55,125.625,0.2562500000000001,0.31124999999999986,0.0,0.0,675.7720068380581,1.0,0.46752795031055894
56,118.5,0.18500000000000005,0.4109999999999999,0.0,0.0,626.7298206461123,1.0,0.46752795031055894
57,128.375,0.28374999999999995,0.2727500000000001,0.0,0.0,623.8696313942215,1.0,0.46752795031055894
58,130.25,0.3025,0.2465,0.0,0.0,798.5898362388168,1.0,0.46752795031055894
59,137.125,0.3712500000000001,0.15024999999999988,0.0,0.0,702.2887574217292,1.0,0.46752795031055894
60,148.0,0.48,0.0,0.0,0.0,808.6588413965314,1.0,0.46752795031055894
61,154.875,0.5487500000000001,0.0,0.0,0.0,628.6400959556447,1.0,0.46752795031055894
62,146.75,0.4675,0.015499999999999958,0.0,0.0,619.4235737659383,1.0,0.46752795031055894
63,148.625,0.48625000000000007,0.0,0.0,0.0,661.8141655232512,1.0,0.46752795031055894
64,152.5,0.5249999999999999,0.0,0.0,0.0,738.0735655545287,1.0,0.46752795031055894
65,154.375,0.54375,0.0,0.0,0.0,811.5815104229084,1.0,0.46752795031055894
66,158.25,0.5825,0.0,0.0,0.0,878.5999318583193,1.0,0.46752795031055894
67,157.125,0.57125,0.0,0.0,0.0,818.0074382618118,1.0,0.46752795031055894
68,158.0,0.5800000000000001,0.0,0.0,0.0,758.1707713429928,1.0,0.46752795031055894
69,153.875,0.5387500000000001,0.0,0.0,0.0,842.3342052001096,1.0,0.46752795031055894
70,146.75,0.4675,0.015499999999999958,0.0,0.0,804.7369316719262,1.0,0.46752795031055894
71,146.625,0.46625000000000005,0.017249999999999877,0.0,0.0,666.2209130037488,1.0,0.46752795031055894
72,142.5,0.42500000000000004,0.07499999999999996,0.0,0.0,569.6480090026511,1.0,0.46752795031055894
73,144.375,0.4437500000000001,0.04874999999999985,0.0,0.0,513.7731786019598,1.0,0.46752795031055894
74,142.25,0.4225000000000001,0.07849999999999979,0.0,0.0,610.7346172869443,1.0,0.46752795031055894
75,139.125,0.3912500000000001,0.12224999999999986,0.0,0.0,652.830267436612,1.0,0.46752795031055894
76,139.0,0.3899999999999999,0.12400000000000011,0.0,0.0,741.3127493560664,1.0,0.46752795031055894
77,139.875,0.39874999999999994,0.11175000000000013,0.0,0.0,700.3249348511997,1.0,0.46752795031055894
78,142.75,0.4275,0.07150000000000001,0.0,0.0,726.1139169886312,1.0,0.46752795031055894
79,143.625,0.43625,0.059249999999999914,0.0,0.0,793.4501729876388,1.0,0.46752795031055894
80,141.5,0.41500000000000004,0.08899999999999997,0.0,0.0,753.8254844180872,1.0,0.46752795031055894
81,141.375,0.41375000000000006,0.09074999999999989,0.0,0.0,798.737911290211,1.0,0.46752795031055894
82,138.25,0.38250000000000006,0.13449999999999995,0.0,0.0,722.7977349255036,1.0,0.46752795031055894
83,130.125,0.30125,0.24824999999999997,0.0,0.0,691.9328032838957,1.0,0.46752795031055894
84,117.0,0.16999999999999993,0.4320000000000001,0.0,0.0,665.3724532272837,1.0,0.46752795031055894
85,109.875,0.0987499999999999,0.5317500000000002,0.0,0.0,562.713998022923,0.0,0.765527950310559
86,117.75,0.1775,0.42150000000000004,0.0,0.0,648.8684464968966,1.0,0.46752795031055894
87,119.625,0.19625000000000004,0.39525,0.0,0.0,622.154523177245,1.0,0.46752795031055894
88,124.5,0.2450000000000001,0.32699999999999985,0.0,0.0,648.9730304145647,1.0,0.46752795031055894
89,128.375,0.28374999999999995,0.2727500000000001,0.0,0.0,717.2530902222427,1.0,0.46752795031055894
90,128.25,0.2825,0.2745,0.0,0.0,768.4555897807885,1.0,0.46752795031055894
91,129.125,0.29125,0.26225,0.0,0.0,831.3029827219095,1.0,0.46752795031055894
92,122.0,0.21999999999999997,0.36200000000000004,0.0,0.0,805.1938377265853,1.0,0.46752795031055894
93,111.875,0.11874999999999991,0.5037500000000001,0.0,0.0,751.8252389768529,1.0,0.46752795031055894
94,111.75,0.11749999999999994,0.5055000000000001,0.0,0.0,743.4883700908425,1.0,0.46752795031055894
95,121.625,0.21625000000000005,0.3672499999999999,0.0,0.0,576.057252676871,1.0,0.46752795031055894
96,117.5,0.17500000000000004,0.42499999999999993,0.0,0.0,466.1345548991881,1.0,0.46752795031055894
97,117.375,0.17375000000000007,0.4267499999999999,0.0,0.0,390.63768268391027,1.0,0.46752795031055894
98,124.25,0.24249999999999994,0.33050000000000007,0.0,0.0,362.78546338698004,1.0,0.46752795031055894
99,127.125,0.27125,0.29025,0.0,0.0,480.2057933819277,1.0,0.46752795031055894
100,125.0,0.25,0.32,0.0,0.0,443.61672916953614,1.0,0.46752795031055894
101,131.875,0.3187500000000001,0.2237499999999999,0.0,0.0,467.07712793169,1.0,0.46752795031055894
102,138.75,0.38749999999999996,0.12750000000000006,0.0,0.0,653.5845321239585,1.0,0.46752795031055894
103,140.625,0.40625,0.10124999999999995,0.0,0.0,637.2412285930243,1.0,0.46752795031055894
104,140.5,0.405,0.10299999999999998,0.0,0.0,733.5445397211281,1.0,0.46752795031055894
105,138.375,0.38375000000000004,0.13274999999999992,0.0,0.0,643.4738637759148,1.0,0.46752795031055894
106,132.25,0.3225,0.21849999999999997,0.0,0.0,644.2353352339688,1.0,0.46752795031055894
107,131.125,0.31125,0.23424999999999996,0.0,0.0,570.3860626961169,1.0,0.46752795031055894
108,135.0,0.3500000000000001,0.17999999999999988,0.0,0.0,572.4055425668373,1.0,0.46752795031055894
109,136.875,0.3687499999999999,0.15375000000000016,0.0,0.0,691.9552477992095,1.0,0.46752795031055894
110,145.75,0.4575,0.02949999999999997,0.0,0.0,530.8321559201327,1.0,0.46752795031055894
111,150.625,0.5062500000000001,0.0,0.0,0.0,618.1080890906919,1.0,0.46752795031055894
112,154.5,0.5449999999999999,0.0,0.0,0.0,668.2600315057814,1.0,0.46752795031055894
113,158.375,0.58375,0.0,0.0,0.0,625.1930296349458,1.0,0.46752795031055894
114,150.25,0.5025,0.0,0.0,0.0,505.54863826911117,1.0,0.46752795031055894
115,148.125,0.48124999999999996,0.0,0.0,0.0,561.6518613866758,1.0,0.46752795031055894
116,149.0,0.49,0.0,0.0,0.0,546.3722182029604,1.0,0.46752795031055894
117,155.875,0.5587500000000001,0.0,0.0,0.0,610.3653956978387,1.0,0.46752795031055894
118,141.75,0.4175,0.08550000000000002,0.0,0.0,640.4775311106152,1.0,0.46752795031055894
119,145.625,0.45625000000000004,0.03124999999999989,0.0,0.0,822.5599140205837,1.0,0.46752795031055894
120,131.5,0.31499999999999995,0.2290000000000001,0.0,0.0,784.1123684691646,1.0,0.46752795031055894
121,139.375,0.39375000000000004,0.11874999999999991,0.0,0.0,674.9401455131452,1.0,0.46752795031055894
122,142.25,0.4225000000000001,0.07849999999999979,0.0,0.0,707.8796799061478,1.0,0.46752795031055894
123,151.125,0.51125,0.0,0.0,0.0,738.3034123220947,1.0,0.46752795031055894
124,158.0,0.5800000000000001,0.0,0.0,0.0,876.5614873817194,1.0,0.46752795031055894
125,153.875,0.5387500000000001,0.0,0.0,0.0,934.7603144968334,1.0,0.46752795031055894
126,149.75,0.49750000000000005,0.0,0.0,0.0,933.4953575124177,1.0,0.46752795031055894
127,139.625,0.39625,0.11524999999999996,0.0,0.0,1043.1265751318904,1.0,0.46752795031055894
128,135.5,0.355,0.17300000000000004,0.0,0.0,865.6249546732272,1.0,0.46752795031055894
129,139.375,0.39375000000000004,0.11874999999999991,0.0,0.0,778.524810463607,1.0,0.46752795031055894
130,149.25,0.49249999999999994,0.0,0.0,0.0,680.1622542303331,1.0,0.46752795031055894
131,147.125,0.47124999999999995,0.010250000000000092,0.0,0.0,655.1488230686898,1.0,0.46752795031055894
132,149.0,0.49,0.0,0.0,0.0,536.450443699321,1.0,0.46752795031055894
133,149.875,0.49875,0.0,0.0,0.0,642.6754496408972,1.0,0.46752795031055894
134,144.75,0.4475,0.04349999999999998,0.0,0.0,641.9180900028405,1.0,0.46752795031055894
135,145.625,0.45625000000000004,0.03124999999999989,0.0,0.0,516.4538425520067,1.0,0.46752795031055894
136,148.5,0.4850000000000001,0.0,0.0,0.0,461.60516592085116,1.0,0.46752795031055894
137,145.375,0.4537500000000001,0.03474999999999984,0.0,0.0,550.6355174817004,1.0,0.46752795031055894
138,141.25,0.4125000000000001,0.09249999999999992,0.0,0.0,674.3210707747985,1.0,0.46752795031055894
139,147.125,0.47124999999999995,0.010250000000000092,0.0,0.0,889.1299457890175,1.0,0.46752795031055894
140,153.0,0.53,0.0,0.0,0.0,1152.690203231947,1.0,0.46752795031055894
141,143.875,0.43875,0.055749999999999966,0.0,0.0,1113.5931059131572,1.0,0.46752795031055894
142,143.75,0.4375,0.057499999999999996,0.0,0.0,941.9206727273394,1.0,0.46752795031055894
143,158.625,0.5862499999999999,0.0,0.0,0.0,690.3319101087405,1.0,0.46752795031055894
144,153.5,0.5349999999999999,0.0,0.0,0.0,729.036674321376,1.0,0.46752795031055894
145,153.375,0.53375,0.0,0.0,0.0,651.9352299260682,1.0,0.46752795031055894
146,144.25,0.4424999999999999,0.0505000000000001,0.0,0.0,630.0124579228861,1.0,0.46752795031055894
147,148.125,0.48124999999999996,0.0,0.0,0.0,592.8002864323281,1.0,0.46752795031055894
148,146.0,0.45999999999999996,0.026000000000000023,0.0,0.0,610.161140504224,1.0,0.46752795031055894
149,145.875,0.45875,0.02774999999999994,0.0,0.0,744.7269354821435,1.0,0.46752795031055894
150,150.75,0.5075000000000001,0.0,0.0,0.0,761.4864051302493,1.0,0.46752795031055894
151,147.625,0.47625000000000006,0.003249999999999864,0.0,0.0,743.3256404003306,1.0,0.46752795031055894
152,150.5,0.5049999999999999,0.0,0.0,0.0,641.0951370376833,1.0,0.46752795031055894
153,161.375,0.61375,0.0,0.0,0.0,495.40781515971105,1.0,0.46752795031055894
154,165.25,0.6525000000000001,0.0,0.0,0.0,497.69546122043573,1.0,0.46752795031055894
155,167.125,0.6712499999999999,0.0,0.0,0.0,542.7781138945165,1.0,0.46752795031055894
156,169.0,0.69,0.0,0.0,0.0,761.0154824736015,1.0,0.46752795031055894
157,175.875,0.75875,0.0,0.0,0.0,771.8398381261699,1.0,0.46752795031055894
158,174.75,0.7475,0.0,0.0,0.0,865.7458216032417,1.0,0.46752795031055894
159,172.625,0.7262500000000001,0.0,0.0,0.0,792.6670974286782,1.0,0.46752795031055894
160,178.5,0.7849999999999999,0.0,0.0,0.0,665.63930130124,1.0,0.46752795031055894
161,177.375,0.7737499999999999,0.0,0.0,0.0,585.9997648177549,1.0,0.46752795031055894
162,181.25,0.8125,0.0,0.0,0.0,546.2772054006286,1.0,0.46752795031055894
163,178.125,0.78125,0.0,0.0,0.0,799.8687375640194,1.0,0.46752795031055894
164,170.0,0.7,0.0,0.0,0.0,707.756322128777,1.0,0.46752795031055894
165,162.875,0.6287499999999999,0.0,0.0,0.0,800.0539780766562,1.0,0.46752795031055894
166,170.75,0.7075,0.0,0.0,0.0,699.7504646526224,1.0,0.46752795031055894
167,166.625,0.66625,0.0,0.0,0.0,802.9576730095224,1.0,0.46752795031055894
168,162.5,0.625,0.0,0.0,0.0,830.8612350182043,1.0,0.46752795031055894
169,157.375,0.57375,0.0,0.0,0.0,799.0251982487545,1.0,0.46752795031055894
170,159.25,0.5925,0.0,0.0,0.0,785.1439059854603,1.0,0.46752795031055894
171,162.125,0.6212500000000001,0.0,0.0,0.0,712.6363552454292,1.0,0.46752795031055894
172,161.0,0.6100000000000001,0.0,0.0,0.0,764.7163043445514,1.0,0.46752795031055894
173,166.875,0.66875,0.0,0.0,0.0,716.2746954415632,1.0,0.46752795031055894
174,157.75,0.5774999999999999,0.0,0.0,0.0,600.4591799765257,1.0,0.46752795031055894
175,160.625,0.60625,0.0,0.0,0.0,502.5735865492586,1.0,0.46752795031055894
176,154.5,0.5449999999999999,0.0,0.0,0.0,569.3176610116188,1.0,0.46752795031055894
177,164.375,0.64375,0.0,0.0,0.0,763.3632544503386,1.0,0.46752795031055894
178,168.25,0.6825000000000001,0.0,0.0,0.0,776.6897649176148,1.0,0.46752795031055894
179,168.125,0.6812499999999999,0.0,0.0,0.0,759.4879793231037,1.0,0.46752795031055894
180,174.0,0.74,0.0,0.0,0.0,786.1729974187373,1.0,0.46752795031055894
181,182.875,0.8287500000000001,0.0,0.0,0.0,909.5385721056724,1.0,0.46752795031055894
182,173.75,0.7375,0.0,0.0,0.0,899.5691078209236,1.0,0.46752795031055894
183,171.625,0.71625,0.0,0.0,0.0,828.5625631733652,1.0,0.46752795031055894
184,169.5,0.6950000000000001,0.0,0.0,0.0,923.4789215446812,1.0,0.46752795031055894
185,170.375,0.7037500000000001,0.0,0.0,0.0,931.6587810819063,1.0,0.46752795031055894
186,182.25,0.8225,0.0,0.0,0.0,1048.9026240651242,1.0,0.46752795031055894
187,180.125,0.80125,0.0,0.0,0.0,1007.44554297429,1.0,0.46752795031055894
188,173.0,0.73,0.0,0.0,0.0,833.509531207382,1.0,0.46752795031055894
189,186.875,0.8687499999999999,0.0,0.0,0.0,679.9917050413392,1.0,0.46752795031055894
190,182.75,0.8274999999999999,0.0,0.0,0.0,859.0861572561962,1.0,0.46752795031055894
191,182.625,0.8262499999999999,0.0,0.0,0.0,1009.6354978832867,1.0,0.46752795031055894
192,168.5,0.685,0.0,0.0,0.0,939.7564769783694,1.0,0.46752795031055894
193,171.375,0.7137500000000001,0.0,0.0,0.0,863.4864494690968,1.0,0.46752795031055894
194,166.25,0.6625000000000001,0.0,0.0,0.0,986.9335887994978,1.0,0.46752795031055894
195,180.125,0.80125,0.0,0.0,0.0,828.8423028352495,1.0,0.46752795031055894
196,176.0,0.76,0.0,0.0,0.0,723.601140372617,1.0,0.46752795031055894
197,182.875,0.8287500000000001,0.0,0.0,0.0,793.2135917669981,1.0,0.46752795031055894
198,175.75,0.7575000000000001,0.0,0.0,0.0,745.1103611276395,1.0,0.46752795031055894
199,182.625,0.8262499999999999,0.0,0.0,0.0,745.5761022301045,1.0,0.46752795031055894
200,178.5,0.7849999999999999,0.0,0.0,0.0,730.1165919316325,1.0,0.46752795031055894
201,183.375,0.83375,0.0,0.0,0.0,767.8507284251993,1.0,0.46752795031055894
202,195.25,0.9524999999999999,0.0,0.0,0.0,905.0287688715312,1.0,0.46752795031055894
203,186.125,0.8612500000000001,0.0,0.0,0.0,883.0815057873995,1.0,0.46752795031055894
204,180.0,0.8,0.0,0.0,0.0,920.8590839576054,1.0,0.46752795031055894
205,174.875,0.74875,0.0,0.0,0.0,681.6700570629822,1.0,0.46752795031055894
206,182.75,0.8274999999999999,0.0,0.0,0.0,690.464205457374,1.0,0.46752795031055894
207,177.625,0.7762500000000001,0.0,0.0,0.0,618.0483373366121,1.0,0.46752795031055894
208,189.5,0.895,0.0,0.0,0.0,522.5573638269269,1.0,0.46752795031055894
209,189.375,0.89375,0.0,0.0,0.0,480.2306543686665,1.0,0.46752795031055894
210,190.25,0.9025000000000001,0.0,0.0,0.0,500.772179424852,1.0,0.46752795031055894
211,190.125,0.9012500000000001,0.0,0.0,0.0,642.2079977754829,1.0,0.46752795031055894
212,191.0,0.9099999999999999,0.0,0.0,0.0,531.1271264464299,1.0,0.46752795031055894
213,200.875,1.00875,0.0,0.0,0.0,577.9648504165857,1.0,0.46752795031055894
214,199.75,0.9975,0.0,0.0,0.0,563.9549369999107,1.0,0.46752795031055894
215,205.625,1.05625,0.0,0.0,0.0,568.3966401637325,1.0,0.46752795031055894
216,202.5,1.025,0.0,0.0,0.0,704.9930946614464,1.0,0.46752795031055894
217,208.375,1.0837500000000002,0.0,0.0,0.0,767.8060194295498,1.0,0.46752795031055894
218,214.25,1.1425,0.0,0.0,0.0,897.9846262879142,1.0,0.46752795031055894
219,213.125,1.13125,0.0,0.0,0.0,852.9371331053413,1.0,0.46752795031055894
220,201.0,1.0099999999999998,0.0,0.0,0.0,762.7554453172029,0.0,0.0
