number,value,datetime_start,datetime_complete,duration,params_audit_pressure,params_cost_shifting_intensity,params_discharge_delay_base,params_fragmentation_index,params_political_salience,state
15,0.0023091770774209936,2025-12-25 00:24:42.165645,2025-12-25 00:24:42.348304,0 days 00:00:00.182659,0.23639057619299655,0.7742709315814804,0.874239430613053,1.1260462612146305,0.19552331370596698,COMPLETE
16,0.00040480852773603623,2025-12-25 00:24:42.348456,2025-12-25 00:24:42.549710,0 days 00:00:00.201254,0.7000557530153997,0.42105239054623383,1.253447489542664,1.380676850789163,0.6809518686859298,COMPLETE
17,0.002749349199810284,2025-12-25 00:24:42.549841,2025-12-25 00:24:42.734040,0 days 00:00:00.184199,0.2162844868328025,0.28252792032920104,1.372270356852364,1.487988348415696,0.4080109078954762,COMPLETE
18,0.0006073078872117488,2025-12-25 00:24:42.734200,2025-12-25 00:24:42.920158,0 days 00:00:00.185958,0.40771975822884554,0.4089806013395299,1.122276761216633,1.1608908819225296,0.3291273592117796,COMPLETE
19,0.001748616785619615,2025-12-25 00:24:42.920301,2025-12-25 00:24:43.107313,0 days 00:00:00.187012,0.5724754200171966,0.2466458615744891,0.8303274395720512,1.3603510840766027,0.15865067564024393,COMPLETE
20,0.0023229909472795547,2025-12-25 00:24:43.107467,2025-12-25 00:24:43.292291,0 days 00:00:00.184824,0.18547543250538445,0.4713968790490888,0.9417546800878824,1.0177498464404562,0.47338746333214,COMPLETE
21,0.0001728282159157732,2025-12-25 00:24:43.292436,2025-12-25 00:24:43.476903,0 days 00:00:00.184467,0.10863627626995274,0.3422274186189689,1.178368515271508,1.4314163319123168,0.05207083264240202,COMPLETE
22,0.0007124168775014349,2025-12-25 00:24:43.477036,2025-12-25 00:24:43.661505,0 days 00:00:00.184469,0.10195054997997169,0.3440790517309095,1.085787751451722,1.2542682766092401,0.13318512148573908,COMPLETE
23,0.00018195903802369849,2025-12-25 00:24:43.661658,2025-12-25 00:24:43.845543,0 days 00:00:00.183885,0.30349407396645023,0.3987808006837893,1.2061493114358035,1.4120660110675347,0.23792822166172356,COMPLETE
24,0.0002253531897996341,2025-12-25 00:24:43.845676,2025-12-25 00:24:44.036932,0 days 00:00:00.191256,0.31392728889498767,0.4452037209836031,1.2260051034522177,1.3797313738739596,0.27280092412085494,COMPLETE
25,0.0016660004593202474,2025-12-25 00:24:44.037090,2025-12-25 00:24:44.218496,0 days 00:00:00.181406,0.1921439571316608,0.6069318758395168,1.333408561422461,1.4254612917889906,0.0525407269673023,COMPLETE
26,0.0006702108976131326,2025-12-25 00:24:44.218644,2025-12-25 00:24:44.403972,0 days 00:00:00.185328,0.4331870970049805,0.39607465156690524,1.0762210499530291,1.3241104120283071,0.22115907778445026,COMPLETE
27,0.0001222077368525873,2025-12-25 00:24:44.404105,2025-12-25 00:24:44.588370,0 days 00:00:00.184265,0.2817029900651546,0.2585135089803456,1.213981398171886,1.1919193502142662,0.6192475619315438,COMPLETE
28,0.0007559450060023417,2025-12-25 00:24:44.588507,2025-12-25 00:24:44.768523,0 days 00:00:00.180016,0.9558491834201217,0.09437941553904464,1.3165954894087328,1.1585081802058605,0.7295729281039789,COMPLETE
29,0.0006060462630443869,2025-12-25 00:24:44.768669,2025-12-25 00:24:44.950030,0 days 00:00:00.181361,0.8821174517774217,0.1930145003937317,1.2985139428174977,1.2312531644020357,0.6592112149407804,COMPLETE
30,0.0010122499215971033,2025-12-25 00:24:44.950182,2025-12-25 00:24:45.150440,0 days 00:00:00.200258,0.5780550365344138,0.2751356874454079,1.0877209334170064,1.087120440533306,0.5986931009807384,COMPLETE
31,0.00019920804863654554,2025-12-25 00:24:45.150585,2025-12-25 00:24:45.334033,0 days 00:00:00.183448,0.29215351534656964,0.22944190432898487,1.212141314816762,1.4132477155916232,0.5484070913765052,COMPLETE
32,0.00013711273823697556,2025-12-25 00:24:45.334168,2025-12-25 00:24:45.515125,0 days 00:00:00.180957,0.1706151172494841,0.3766187425129813,1.2020363948268968,1.266988084531043,0.4474632055864818,COMPLETE
33,9.235004213197453e-05,2025-12-25 00:24:45.515258,2025-12-25 00:24:45.698624,0 days 00:00:00.183366,0.17763913066566528,0.296835094090384,1.266131440063643,0.9764832234260933,0.463495071104327,COMPLETE
34,8.588783775063148e-05,2025-12-25 00:24:45.698757,2025-12-25 00:24:45.884463,0 days 00:00:00.185706,0.2137029186976263,0.30149469801810114,1.2518419307617248,0.9693572880419793,0.7805205736298639,COMPLETE
35,0.00046070397854133165,2025-12-25 00:24:45.884599,2025-12-25 00:24:46.067786,0 days 00:00:00.183187,0.18714384834821748,0.1340844127194063,1.281869886724159,0.9578357019563267,0.4615032940200745,COMPLETE
36,0.0009004041814825425,2025-12-25 00:24:46.067936,2025-12-25 00:24:46.269680,0 days 00:00:00.201744,0.3517639707835804,0.2808394337221682,1.3596709449567443,0.9877420450352384,0.7804700065352336,COMPLETE
37,8.908274905099052e-05,2025-12-25 00:24:46.269840,2025-12-25 00:24:46.454479,0 days 00:00:00.184639,0.16383493795550408,0.19845534216785832,1.2512434085056119,0.9341704710716338,0.4022800325622618,COMPLETE
38,0.0018579463283361491,2025-12-25 00:24:46.454633,2025-12-25 00:24:46.633319,0 days 00:00:00.178686,0.23533768184577014,0.05322725534374445,1.2666739472115252,0.9499047087764304,0.37980718024222004,COMPLETE
39,0.00015691059286780505,2025-12-25 00:24:46.633453,2025-12-25 00:24:46.817598,0 days 00:00:00.184145,0.25536895161884215,0.19600246042850222,1.2448465444930208,0.8160281563017723,0.5097484351694289,COMPLETE
40,7.557149503150448e-05,2025-12-25 00:24:46.817743,2025-12-25 00:24:47.001597,0 days 00:00:00.183854,0.3803401941100095,0.14489201702842663,1.3461362480063734,0.6227957357510121,0.8795998259916915,COMPLETE
41,0.0005654398906544713,2025-12-25 00:24:47.001725,2025-12-25 00:24:47.206727,0 days 00:00:00.205002,0.3763030784849104,0.11910178816402325,1.3332743771436035,0.6247527871685326,0.8591269147744789,COMPLETE
42,0.00011522413870609897,2025-12-25 00:24:47.206879,2025-12-25 00:24:47.393312,0 days 00:00:00.186433,0.4729880732085705,0.2182019091996432,1.3070185426696745,0.7176287537662527,0.8892537046305921,COMPLETE
43,0.0009382858167538516,2025-12-25 00:24:47.393461,2025-12-25 00:24:47.576978,0 days 00:00:00.183517,0.5000241253625155,0.1826855813288905,1.391477659580213,0.7111309532868575,0.8979493383388882,COMPLETE
44,0.00031332441392016206,2025-12-25 00:24:47.577111,2025-12-25 00:24:47.761918,0 days 00:00:00.184807,0.4571325226988656,0.21461886413462644,1.3396050235321977,0.6019897721295093,0.7956637098944119,COMPLETE
45,0.00030767929977273836,2025-12-25 00:24:47.762050,2025-12-25 00:24:47.946421,0 days 00:00:00.184371,0.6402170482762474,0.1617547360163483,1.2944778201880627,0.6707760251421304,0.8812468377122884,COMPLETE
46,0.005409863312504653,2025-12-25 00:24:47.946556,2025-12-25 00:24:48.129272,0 days 00:00:00.182716,0.15456015342114637,0.09307400090913613,0.7291708112167151,0.8159254154789245,0.7954182537600689,COMPLETE
47,7.884817119263002e-05,2025-12-25 00:24:48.129403,2025-12-25 00:24:48.331371,0 days 00:00:00.201968,0.3744559042918242,0.30457919411637724,1.2624590835252618,0.9106789075803869,0.7479213955082296,COMPLETE
48,9.288225302170824e-05,2025-12-25 00:24:48.331526,2025-12-25 00:24:48.516345,0 days 00:00:00.184819,0.3400155686683161,0.29995214773879364,1.2505360370696292,0.9193859028555975,0.7538003469452609,COMPLETE
49,0.004031530647586315,2025-12-25 00:24:48.516483,2025-12-25 00:24:48.698056,0 days 00:00:00.181573,0.3949275308543868,0.15790959070905133,0.972340912785735,0.8965228386545399,0.6916600194907239,COMPLETE
