t,x,g,u,r,a,ed_proxy
88,0.03925075504160314,0.016633406421167386,0.0,0.0,0.0,0.6150489429417556
89,0.019071684057780883,0.043059574475342005,0.0,0.0,0.0,0.6432996423191069
90,0.03721978020472306,0.05988605524364786,0.0,0.0,0.0,0.6178923077133878
91,0.018146846025691138,0.07803931254892478,0.0,0.5,0.0,0.6445944155640324
92,0.03708903452052395,0.028347479336284186,0.0,0.0,0.0,0.6180753516712665
93,0.052435171795039995,0.05214630134067878,0.0,0.0,0.0,0.5965907594869441
94,0.0660850274692073,0.0753444083301662,0.0,0.5,0.0,0.5774809615431098
95,0.07826466738179144,0.03764282142334603,0.0,0.0,3.75,0.560429465665492
96,0.0,0.06965063373877368,0.0,0.5,0.0,0.67
97,0.0213233620410367,0.017113519665794424,0.0,0.0,0.0,0.6401472931425487
98,0.0036632482289416513,0.039150693015800236,0.0,0.0,0.0,0.6648714524794818
99,0.0,0.05298274784790219,0.0,0.0,0.0,0.67
100,0.05600667220911014,0.06344585323527979,0.0,0.5,0.0,0.5915906589072458
101,0.10437120931130503,0.02546720098311586,0.0,0.0,3.75,0.523880306964173
102,0.0,0.06593219504086821,0.0,0.5,0.0,0.67
103,0.021252711705776497,0.01406439993351193,0.0,0.0,0.0,0.640246203611913
104,0.07354455566570452,0.03663345875486614,0.0,0.0,3.75,0.5670376220680137
105,0.006444353588848359,0.06769012953875932,0.0,0.5,0.0,0.6609779049756124
106,0.026828256547646014,0.01705255108310624,0.0,0.0,0.0,0.6324404408332956
107,0.04339629910155459,0.04042187345958216,0.0,0.0,0.0,0.6092451812578236
108,0.05808883282306901,0.06356104802123047,0.0,0.5,0.0,0.5886756340477034
109,0.03616405614024272,0.026061379254945543,0.0,0.0,0.0,0.6193703214036602
110,0.08659625448645271,0.0500497044627136,0.0,0.0,3.75,0.5487652437189663
111,0.0,0.0818238587361738,0.0,0.5,0.0,0.67
112,0.0,0.027095564163662513,0.0,0.0,0.0,0.67
113,0.02051481571910959,0.04221836261420326,0.0,0.0,0.0,0.6412792579932466
114,0.03844489040810411,0.059542613116232976,0.0,0.0,0.0,0.6161771534286543
115,0.019193915400177952,0.07805171645325602,0.0,0.5,0.0,0.6431285184397509
116,0.0729897498567649,0.028608947187712643,0.0,0.0,3.75,0.5678143502005292
117,0.00581475487338437,0.06097687665954794,0.0,0.0,0.0,0.6618593431772619
118,0.02615924984764197,0.07139658003044155,0.0,0.5,0.0,0.6333770502133013
119,0.043853489889550484,0.02482341558839615,0.0,0.0,0.0,0.6086051141546294
120,0.058185646201192945,0.05088003835597696,0.0,0.0,0.0,0.58854009531833
121,0.0710063764617895,0.07568618654018741,0.0,0.0,3.75,0.5705910729534948
122,0.0,0.09910420331378315,0.0,0.5,0.0,0.67
123,0.0,0.04126544671730219,0.0,0.0,0.0,0.67
124,0.02078404348762874,0.05383766630818779,0.0,0.0,0.0,0.6409023391173198
125,0.003897193059216285,0.06913505680974488,0.0,0.5,0.0,0.6645439297170972
126,0.02466515211031116,0.01762607291820271,0.0,0.0,0.0,0.6354687870455644
127,0.04154692620031345,0.040373016299400905,0.0,0.0,0.0,0.6118343033195612
128,0.021497443841958182,0.06307713565358397,0.0,0.5,0.0,0.6399035786212586
129,0.004686267281502128,0.016882637758008825,0.0,0.0,0.0,0.6634392258058971
130,0.024350959979493998,0.03496846710912775,0.0,0.0,0.0,0.6359086560287084
131,0.006606226457438261,0.05451837342456331,0.0,0.0,0.0,0.6607512829595865
132,0.0617172038484636,0.06629056055792709,0.0,0.5,0.0,0.583595914612151
133,0.07433631596027931,0.029170388581131478,0.0,0.0,3.75,0.565929157655609
134,0.0,0.06176043446699485,0.0,0.0,0.0,0.67
135,0.0211734482548729,0.07064355626293577,0.0,0.5,0.0,0.640357172443178
136,0.004551393068186471,0.02300934371677683,0.0,0.0,0.0,0.6636280497045389
137,0.05935137556925913,0.03995999618412176,0.0,0.0,0.0,0.5869080742030373
138,0.07180142291706117,0.06701152700760203,0.0,0.0,3.75,0.5694780079161144
139,0.005522442721817053,0.09218179364632835,0.0,0.5,0.0,0.6622685801894561
140,0.0,0.03691445704322535,0.0,0.0,0.0,0.67
141,0.020701374683821282,0.05026985477544479,0.0,0.0,0.0,0.6410180754426502
142,0.03875830946881975,0.06618961083998183,0.0,0.5,0.0,0.6157383667436523
143,0.08958974874914465,0.02357747516130183,0.0,0.0,3.75,0.5445743517511975
