x,g,u,r,a
1.527777777777778,0.875,0.0,0.0,3.75
1.527777777777778,1.0,0.0,0.0,3.75
1.6666666666666667,0.0,0.0,1.0,3.75
1.6666666666666667,0.125,0.0,1.0,3.75
1.6666666666666667,0.25,0.0,0.0,3.75
1.6666666666666667,0.375,0.0,0.5,3.75
1.6666666666666667,0.5,0.0,0.5,3.75
1.6666666666666667,0.625,0.0,0.0,3.75
1.6666666666666667,0.75,0.0,0.0,3.75
1.6666666666666667,0.875,0.0,0.0,3.75
1.6666666666666667,1.0,0.0,0.0,3.75
1.8055555555555556,0.0,5.0,0.5,3.75
1.8055555555555556,0.125,5.0,1.0,3.75
1.8055555555555556,0.25,5.0,0.0,3.75
1.8055555555555556,0.375,5.0,1.0,3.75
1.8055555555555556,0.5,5.0,0.0,3.75
1.8055555555555556,0.625,5.0,0.0,3.75
1.8055555555555556,0.75,5.0,0.0,3.75
1.8055555555555556,0.875,5.0,0.0,3.75
1.8055555555555556,1.0,5.0,0.0,3.75
1.9444444444444446,0.0,0.0,0.5,3.75
1.9444444444444446,0.125,0.0,0.5,3.75
1.9444444444444446,0.25,0.0,0.5,3.75
1.9444444444444446,0.375,0.0,0.0,3.75
1.9444444444444446,0.5,0.0,0.0,3.75
1.9444444444444446,0.625,0.0,0.0,3.75
1.9444444444444446,0.75,0.0,0.0,3.75
1.9444444444444446,0.875,0.0,0.0,3.75
1.9444444444444446,1.0,5.0,0.0,3.75
2.0833333333333335,0.0,0.0,1.0,3.75
2.0833333333333335,0.125,0.0,0.5,3.75
2.0833333333333335,0.25,0.0,0.5,3.75
2.0833333333333335,0.375,0.0,0.0,0.0
2.0833333333333335,0.5,0.0,0.0,0.0
2.0833333333333335,0.625,0.0,0.0,0.0
2.0833333333333335,0.75,0.0,0.0,0.0
2.0833333333333335,0.875,0.0,0.0,0.0
2.0833333333333335,1.0,0.0,0.0,0.0
2.2222222222222223,0.0,0.0,0.0,3.75
2.2222222222222223,0.125,0.0,0.0,3.75
2.2222222222222223,0.25,0.0,0.0,3.75
2.2222222222222223,0.375,0.0,0.0,3.75
2.2222222222222223,0.5,0.0,0.0,3.75
2.2222222222222223,0.625,0.0,0.0,3.75
2.2222222222222223,0.75,0.0,0.0,3.75
2.2222222222222223,0.875,0.0,0.0,3.75
2.2222222222222223,1.0,0.0,0.0,3.75
2.361111111111111,0.0,0.0,0.5,3.75
2.361111111111111,0.125,0.0,0.0,3.75
2.361111111111111,0.25,0.0,0.0,3.75
2.361111111111111,0.375,0.0,0.0,3.75
2.361111111111111,0.5,0.0,0.5,3.75
2.361111111111111,0.625,0.0,0.0,3.75
2.361111111111111,0.75,0.0,0.0,3.75
2.361111111111111,0.875,0.0,0.0,3.75
2.361111111111111,1.0,0.0,0.0,3.75
2.5,0.0,5.0,0.5,3.75
2.5,0.125,0.0,0.0,0.0
2.5,0.25,0.0,0.0,0.0
2.5,0.375,0.0,0.0,0.0
2.5,0.5,0.0,0.0,0.0
2.5,0.625,0.0,0.0,0.0
2.5,0.75,0.0,0.0,0.0
2.5,0.875,0.0,0.0,0.0
