t,x,g,u,r,a,ed_proxy
96,0.0,0.08415557981085504,0.0,0.5,0.0,0.67
97,0.021598956016406247,0.029007575444901134,0.0,0.0,0.0,0.6397614615770313
98,0.004126246107562487,0.04896996130875643,0.0,0.0,0.0,0.6642232554494125
99,0.0,0.06114566733899526,0.0,0.0,0.0,0.67
100,0.05616176767944091,0.07013944721797612,0.0,0.5,0.0,0.5913735252487827
101,0.10463176970146074,0.030993170961806243,0.0,0.0,3.75,0.523515522417955
102,0.02057219219153056,0.0705260249170317,0.0,0.5,0.0,0.6411989309318572
103,0.03903207975813988,0.022768666557933328,0.0,0.0,0.0,0.6153550883386042
104,0.08900019325660104,0.048038005719458904,0.0,0.0,3.75,0.5453997294407585
105,0.04245288830934661,0.08075121107154055,0.0,0.5,0.0,0.6105659563669148
106,0.05804375695639735,0.03640468627290645,0.0,0.0,0.0,0.5887387402610438
107,0.07060932002168695,0.06378234441331865,0.0,0.0,3.75,0.5711469519696383
108,0.0,0.08924775922412616,0.0,0.5,0.0,0.67
109,0.0,0.03318316256378345,0.0,0.0,0.0,0.67
110,0.05563048008871189,0.04721019330230243,0.0,0.0,0.0,0.5921173278758034
111,0.06873920654903597,0.07206367372917885,0.0,0.5,0.0,0.5737651108313497
112,0.04548492743302533,0.03558962202969529,0.0,0.0,0.0,0.6063211015937646
113,0.059793240410965995,0.06009987264827622,0.0,0.0,0.0,0.5862894634246476
114,0.072564084333748,0.08363227327021834,0.0,0.0,3.75,0.5684102819327528
115,0.0,0.10599384432167856,0.0,0.5,0.0,0.67
116,0.0570138830421119,0.04691495234377642,0.0,0.0,0.0,0.5901805637410433
117,0.10492332351074798,0.07215359285200351,0.0,0.0,3.75,0.5231073470849529
118,0.021604976483431335,0.1043475437812224,0.0,0.5,0.0,0.6397530329231962
119,0.04056288310759418,0.05075018025662588,0.0,0.0,0.0,0.6132119636493681
120,0.055848332897406885,0.07135023975625582,0.0,0.5,0.0,0.5918123339436304
121,0.06938522084713879,0.03191079649550743,0.0,0.0,0.0,0.5728606908140057
122,0.080277595061954,0.06281930612962941,0.0,0.0,3.75,0.5576113669132644
123,0.0,0.09077845384116508,0.0,0.5,0.0,0.67
124,0.02172479062298214,0.03443833214975536,0.0,0.0,0.0,0.6395852931278251
125,0.004337648246609989,0.05345338211231511,0.0,0.0,0.0,0.663927292454746
126,0.024745991752218578,0.06487280891128479,0.0,0.5,0.0,0.635355611546894
127,0.042514136276222386,0.019134741327785986,0.0,0.0,0.0,0.6104802092132887
128,0.02192571728277918,0.04589388059507788,0.0,0.0,0.0,0.6393039958041092
129,0.004728100594496576,0.06289515423583086,0.0,0.5,0.0,0.6633806591677048
130,0.025261174441747844,0.012708770616060492,0.0,0.0,0.0,0.634634355781553
131,0.0069660766616082975,0.036483873771189085,0.0,0.0,0.0,0.6602474926737484
132,0.06168401953063573,0.05158863489116104,0.0,0.0,0.0,0.58364237265711
133,0.07402844085927879,0.07710684529810463,0.0,0.0,3.75,0.5663601827970097
134,0.0,0.1009944389506727,0.0,0.5,0.0,0.67
135,0.02191889434006278,0.042815439939551614,0.0,0.0,0.0,0.6393135479239122
136,0.004663742491305467,0.060369195392047395,0.0,0.0,0.0,0.6634707605121724
137,0.06015783325497161,0.07062203841939217,0.0,0.5,0.0,0.5857790334430397
138,0.07307755532924402,0.03234795148509477,0.0,0.0,3.75,0.5676914225390584
139,0.02846130866136666,0.06406393349679627,0.0,0.5,0.0,0.6301541678740867
140,0.010693940185214454,0.01936313954610094,0.0,0.0,0.0,0.6550284837406998
141,0.02956468821066035,0.038444320072254234,0.0,0.0,0.0,0.6286094365050755
142,0.04615607394254073,0.05861986762980695,0.0,0.0,0.0,0.605381496480443
143,0.09580800107555136,0.07914574920265147,0.0,0.0,3.75,0.5358687984942281
144,0.013898650159824555,0.10789343460430652,0.0,0.5,0.0,0.6505418897762456
145,0.03400281439493094,0.05180829241388925,0.0,0.0,0.0,0.6223960598470967
146,0.05022677793550451,0.07064347523417261,0.0,0.5,0.0,0.5996825108902937
147,0.06453725505398317,0.029982076396542625,0.0,0.0,0.0,0.5796478429244236
148,0.07607169879795983,0.06007424385812091,0.0,0.0,3.75,0.5634996216828563
149,0.0,0.0875180876751695,0.0,0.5,0.0,0.67
150,0.0,0.03176483189363899,0.0,0.0,0.0,0.67
151,0.05560353180597914,0.04604716215278397,0.0,0.0,0.0,0.5921550554716293
152,0.10369393343404495,0.07110352059871784,0.0,0.0,3.75,0.524828493192337
153,0.0,0.10319143091511941,0.0,0.5,0.0,0.67
154,0.02196063718738727,0.04461697335039792,0.0,0.0,0.0,0.6392551079376578
155,0.004733870474810609,0.06185647107229923,0.0,0.0,0.0,0.6633725813352652
156,0.025246401558710812,0.07185843519323991,0.0,0.5,0.0,0.6346550378178049
157,0.04307721560916286,0.024983053232547316,0.0,0.0,0.0,0.6096918981471721
