t,x,g,u,r,a,ed_proxy
62,0.045284056920192814,0.07620708979235093,0.0,0.5,0.0,0.6066023203117301
63,0.06010263671620955,0.03335798729057403,0.0,0.0,0.0,0.5858563085973066
64,0.10719530898275695,0.061778182390161,0.0,0.0,3.75,0.5199265674241402
65,0.0006269940975014293,0.0963849837157937,0.0,0.5,0.0,0.669122208263498
66,0.02200426667633129,0.039186165230351164,0.0,0.0,0.0,0.6391940266531362
67,0.039519299053146245,0.05741367949120746,0.0,0.0,0.0,0.6146729813255953
68,0.054859285113972124,0.07656384895554522,0.0,0.5,0.0,0.593197000840439
69,0.03334275570214032,0.03594858457090039,0.0,0.0,0.0,0.6233201420170036
70,0.04922118838931836,0.057480100716651994,0.0,0.0,0.0,0.6010903362549543
71,0.02820391954570689,0.07894676780109104,0.0,0.5,0.0,0.6305145126360104
72,0.04545536167988451,0.03150529028786432,0.0,0.0,0.0,0.6063624936481617
73,0.09457049145707622,0.05674362483922102,0.0,0.0,3.75,0.5376013119600933
74,0.0,0.08922669031785953,0.0,0.5,0.0,0.67
75,0.0,0.033165886060644814,0.0,0.0,0.0,0.67
76,0.020504121468121802,0.047196026569728745,0.0,0.0,0.0,0.6412942299446295
77,0.03835092406644463,0.0636217309395268,0.0,0.5,0.0,0.6163087063069775
78,0.05394884500742318,0.02137404114635869,0.0,0.0,0.0,0.5944716169896076
79,0.06672089213180858,0.05047443654179569,0.0,0.0,0.0,0.576590751015468
80,0.11314717866879068,0.07740205207590653,0.0,0.0,3.75,0.5115939498636931
81,0.005983084846713768,0.11062500558275311,0.0,0.5,0.0,0.6616236812146008
82,0.02682695305303169,0.05214844494106885,0.0,0.0,0.0,0.6324422657257557
83,0.07886383598871151,0.06920019358440406,0.0,0.0,3.75,0.559590629615804
84,0.0,0.0956714793765021,0.0,0.5,0.0,0.67
85,0.0,0.038450613088731725,0.0,0.0,0.0,0.67
86,0.0,0.05152950273276001,0.0,0.0,0.0,0.67
87,0.020783248441537953,0.062254192240863204,0.0,0.0,0.0,0.6409034521818469
88,0.03881985738178376,0.07603641726347693,0.0,0.5,0.0,0.6156521996655028
89,0.019540830890738867,0.031666627927679186,0.0,0.0,0.0,0.6426428367529656
90,0.03728644731053615,0.050656434314474266,0.0,0.0,0.0,0.6177989737652494
91,0.0178363224886411,0.07048702349239758,0.0,0.5,0.0,0.6450291485159025
92,0.03641064009731579,0.022080076661039876,0.0,0.0,0.0,0.619025103863758
93,0.05164876764893939,0.046844216485408485,0.0,0.0,0.0,0.5976917252914848
94,0.06512997226866608,0.0708079617537804,0.0,0.5,0.0,0.5788180388238675
95,0.07708805716971029,0.03369372198257979,0.0,0.0,3.75,0.5620767199624056
96,0.0,0.0661299857464459,0.0,0.5,0.0,0.67
97,0.02100517578334598,0.01422658831208563,0.0,0.0,0.0,0.6405927539033157
98,0.003280695316021237,0.03670704460391325,0.0,0.0,0.0,0.6654070265575703
99,0.0,0.050887143451053954,0.0,0.0,0.0,0.67
100,0.05577348458045603,0.061727457629864244,0.0,0.0,0.0,0.5919171215873615
101,0.10390345409516612,0.08400215155579813,0.0,0.0,3.75,0.5245351642667675
102,0.0,0.11381859325859432,0.0,0.5,0.0,0.67
103,0.021730042617530636,0.053331246472047344,0.0,0.0,0.0,0.6395779403354571
104,0.07449847159745147,0.06894683233528617,0.0,0.0,3.75,0.565702139763568
105,0.007616677425304627,0.094416035698323,0.0,0.5,0.0,0.6593366516045736
106,0.027985466328376493,0.039249151854697975,0.0,0.0,0.0,0.6308203471402729
107,0.044664088150595194,0.05890081643966269,0.0,0.0,0.0,0.6074702765891667
108,0.059306408219394736,0.07901805063666625,0.0,0.5,0.0,0.5869710284928474
109,0.037204585438356794,0.039028339494721065,0.0,0.0,0.0,0.6179135803863005
110,0.08758917423730661,0.0609323388908769,0.0,0.0,3.75,0.5473751560677708
111,0.0,0.09098591970747265,0.0,0.5,0.0,0.67
112,0.0,0.034608454160127575,0.0,0.0,0.0,0.67
