t,x,g,u,r,a,ed_proxy
46,0.027732813501440523,0.10241814490393594,0.0,0.5,0.0,0.6311740610979834
47,0.050185353315048586,0.0506387540615732,0.0,0.0,0.0,0.599740505358932
48,0.06831396744354565,0.07356826312610168,0.0,0.5,0.0,0.5743604455790361
49,0.08442736840072437,0.03672132794985433,0.0,0.0,3.75,0.5518016842389859
50,0.0,0.0703740573350544,0.0,0.5,0.0,0.67
51,0.0,0.01770672701474461,0.0,0.0,0.0,0.67
52,0.0,0.034519516152090576,0.0,0.0,0.0,0.67
53,0.05978704496826767,0.04830600324471427,0.0,0.0,0.0,0.5862981370444253
54,0.07651823554668968,0.07395981345304994,0.0,0.0,3.75,0.5628744702346344
55,0.0,0.09901142356270648,0.0,0.5,0.0,0.67
56,0.06125746045722971,0.04118936732141931,0.0,0.0,0.0,0.5842395553598785
57,0.07762053356814591,0.06847707171329896,0.0,0.0,3.75,0.5613312530045957
58,0.0,0.09478012686126017,0.0,0.5,0.0,0.67
59,0.0,0.03771970402623334,0.0,0.0,0.0,0.67
60,0.0,0.05093015730151134,0.0,0.0,0.0,0.67
61,0.02516120758647446,0.06176272898723929,0.0,0.0,0.0,0.6347743093789358
62,0.04704682874527709,0.07668412759029009,0.0,0.5,0.0,0.6041344397566121
63,0.0662086708299969,0.034172223522904374,0.0,0.0,0.0,0.5773078608380043
64,0.11671858361011955,0.06391130428798085,0.0,0.0,3.75,0.5065939829458327
65,0.013335159642468786,0.10041972958257299,0.0,0.5,0.0,0.6513307765005437
66,0.03775780712700582,0.045544616571902355,0.0,0.0,0.0,0.6171390700221919
67,0.05751013138706438,0.06640845929944132,0.0,0.5,0.0,0.5894858160581099
68,0.07497282586490263,0.028257368158437334,0.0,0.0,3.75,0.5650380437891364
69,0.0,0.06116452009749525,0.0,0.0,0.0,0.67
70,0.025394551058222893,0.0701549064799461,0.0,0.5,0.0,0.634447628518488
71,0.012438845777814456,0.0236217155675293,0.0,0.0,0.0,0.6525856159110598
72,0.035235982483860104,0.0423551297520495,0.0,0.0,0.0,0.6206696245225959
73,0.09026864189446643,0.06318784219280701,0.0,0.0,3.75,0.5436239013477471
74,0.0,0.0934785046527737,0.0,0.5,0.0,0.67
75,0.0,0.03665237381527443,0.0,0.0,0.0,0.67
76,0.024835674122988257,0.05005494652852503,0.0,0.0,0.0,0.6352300562278165
77,0.04649993252662027,0.06700561794290771,0.0,0.5,0.0,0.6049000944627316
78,0.06551767006199173,0.026104590519573184,0.0,0.0,0.0,0.5782752619132117
79,0.08094038091715916,0.05713000504092802,0.0,0.0,3.75,0.5566834667159772
80,0.017411291703690046,0.08627229555367917,0.0,0.5,0.0,0.645624191614834
81,0.04094071920379732,0.03492199236290254,0.0,0.0,0.0,0.6126829931146838
82,0.060005239941139876,0.05846180634649144,0.0,0.0,0.0,0.5859926640824042
83,0.1119374355340803,0.08233993878999656,0.0,0.0,3.75,0.5132875902522877
84,0.0,0.11438373433597644,0.0,0.5,0.0,0.67
85,0.0,0.05379466215550069,0.0,0.0,0.0,0.67
86,0.0,0.06411162296751056,0.0,0.5,0.0,0.67
87,0.02546174500365924,0.01257153083335866,0.0,0.0,0.0,0.634353556994877
88,0.04618373160614753,0.03641947408423232,0.0,0.0,0.0,0.6053427757513935
89,0.029548373190407373,0.060948064334545915,0.0,0.0,0.0,0.6286322775334298
90,0.05080121681057799,0.07706902232002542,0.0,0.5,0.0,0.5988782964651909
91,0.03444622016599365,0.035388890336959564,0.0,0.0,0.0,0.6217752917676089
92,0.054430616042437215,0.05728598291614531,0.0,0.0,0.0,0.5937971375405879
93,0.07211645020698412,0.08003785384142409,0.0,0.0,3.75,0.5690369697102222
94,0.0,0.10293898819964394,0.0,0.5,0.0,0.67
95,0.026347008930951883,0.044409970323708026,0.0,0.0,0.0,0.6331141874966674
96,0.047670975003999166,0.06273945780886903,0.0,0.5,0.0,0.6032606349944012
97,0.0664274981414815,0.022887389404232402,0.0,0.0,0.0,0.577001502601926
98,0.04664948088009058,0.05471025886542613,0.0,0.0,0.0,0.6046907267678732
99,0.030365947459009612,0.07605828768087117,0.0,0.5,0.0,0.6274876735573865
100,0.08684884377387213,0.02965562328847666,0.0,0.0,3.75,0.5484116187165791
101,0.02186615385650731,0.06516133360228017,0.0,0.5,0.0,0.6393873846008898
102,0.044290570722728274,0.0186801704794315,0.0,0.0,0.0,0.6079932009881804
103,0.06251579870847736,0.04594747676658861,0.0,0.0,0.0,0.5824778818081318
104,0.11381118935956874,0.07268072263863723,0.0,0.0,3.75,0.5106643348966038
105,0.046034743325390065,0.10691287800997902,0.0,0.5,0.0,0.6055513593444539
106,0.06602749287846298,0.058716898366276415,0.0,0.0,0.0,0.5775615099701519
107,0.08212238915822925,0.08399445495117777,0.0,0.0,3.75,0.5550286551784791
108,0.0,0.10858482645794079,0.0,0.5,0.0,0.67
109,0.0,0.04903955769551145,0.0,0.0,0.0,0.67
110,0.06011810191545766,0.06021243731031939,0.0,0.0,0.0,0.5858346573183593
111,0.07707441121796887,0.08380254305417174,0.0,0.0,3.75,0.5620958242948436
112,0.0,0.10721594399673336,0.0,0.5,0.0,0.67
113,0.02644452352312552,0.04791707407732135,0.0,0.0,0.0,0.6329776670676243
114,0.047834799518850876,0.06563868638895363,0.0,0.5,0.0,0.6030312806736088
115,0.03163448963587989,0.025304074723466196,0.0,0.0,0.0,0.6257117145097681
116,0.08678259399055174,0.048341618785853455,0.0,0.0,3.75,0.5485043684132276
117,0.022235219740191978,0.08046794996213225,0.0,0.5,0.0,0.6388706923637313
118,0.04495695823570171,0.03132017170659451,0.0,0.0,0.0,0.6070602584700177
119,0.06337708399761383,0.05647221077597592,0.0,0.0,0.0,0.5812720824033407
120,0.07979185864364013,0.08151771299572758,0.0,0.0,3.75,0.5582913978989038
121,0.0,0.10599457073097025,0.0,0.5,0.0,0.67
122,0.026416676212666124,0.04691554799939561,0.0,0.0,0.0,0.6330166533022674
123,0.012788016037279082,0.06481075165054427,0.0,0.5,0.0,0.6520967775478094
