t,N,P,within4_proxy,u,a,g,anchor,p_agree,burden,q,e,integrated_equilibrium,cond_penalty
40,119.8464078532709,0.19846407853270898,0.39215029005420743,0.0,0.0,758.2917502072888,1.0,0.46752795031055894,1.284823971887369,1.0119078447119625,0.7529769611779906,1,1.0
41,119.40162827017886,0.1940162827017886,0.39837720421749595,0.0,0.0,830.9588172861753,1.0,0.46752795031055894,1.2846038059937386,1.0116409769621073,0.7529102442405269,1,1.0
42,120.95640688018165,0.20956406880181655,0.37661030367745685,0.0,0.0,869.0824806594599,1.0,0.46752795031055894,1.2853734214056898,1.012573844128109,0.7531434610320272,1,1.0
43,121.51272985199748,0.2151272985199748,0.36882178207203525,0.0,0.0,778.7150137986986,0.0,0.765527950310559,1.2856488012767389,1.0129076379111985,0.7532269094777997,1,1.0
44,125.06960540217628,0.25069605402176287,0.31902552436953197,0.0,0.0,796.1881433456309,1.0,0.46752795031055894,1.2874094546740773,1.0150417632413058,0.7537604408103264,1,1.0
45,129.63001367079582,0.2963001367079583,0.25517980860885836,0.0,0.0,798.6190955905777,1.0,0.46752795031055894,1.289666856767044,1.0177780082024774,0.7544445020506194,1,1.0
46,137.19495082896444,0.37194950828964446,0.14927068839449775,0.0,0.0,810.7641361453635,1.0,0.46752795031055894,1.2934115006603375,1.0223169704973787,0.7555792426243446,1,1.0
47,136.76739928752067,0.36767399287520686,0.15525640997471035,0.0,0.0,885.7541867111099,1.0,0.46752795031055894,1.2931998626473227,1.0220604395725124,0.7555151098931281,1,1.0
48,143.33942327094655,0.43339423270946553,0.06324807420674827,0.0,0.0,880.9629042463562,1.0,0.46752795031055894,1.2964530145191184,1.0260036539625679,0.756500913490642,1,1.0
49,152.91797139459607,0.5291797139459606,0.0,0.0,0.0,922.6616797042745,1.0,0.46752795031055894,1.3011943958403251,1.0317507828367576,0.7579376957091895,1,1.0
50,156.50602599682554,0.5650602599682555,0.0,0.0,0.0,894.8872507123089,1.0,0.46752795031055894,1.3029704828684288,1.0339036155980954,0.7584759038995239,1,1.0
51,166.09764096071456,0.6609764096071455,0.0,0.0,0.0,894.8217404388455,1.0,0.46752795031055894,1.3077183322755537,1.0396585845764288,0.7599146461441072,1,1.0
52,159.69877164802776,0.5969877164802775,0.0,0.0,0.0,928.9862149349304,1.0,0.46752795031055894,1.3045508919657736,1.0358192629888165,0.7589548157472041,1,1.0
53,170.29355439666085,0.7029355439666085,0.0,0.0,0.0,747.4733899623777,1.0,0.46752795031055894,1.309795309426347,1.0421761326379966,0.7605440331594991,1,1.0
54,172.8988469459514,0.7289884694595139,0.0,0.0,0.0,716.0115903341721,1.0,0.46752795031055894,1.311084929238246,1.0437393081675708,0.7609348270418927,1,1.0
55,181.50672338385408,0.8150672338385407,0.0,0.0,0.0,675.7720068380581,1.0,0.46752795031055894,1.3153458280750077,1.0489040340303124,0.762226008507578,1,1.0
56,193.12313555823954,0.9312313555823954,0.0,0.0,0.0,626.7298206461123,1.0,0.46752795031055894,1.3210959521013286,1.0558738813349438,0.7639684703337359,1,1.0
57,200.75106333225347,1.0075106333225348,0.0,0.0,0.0,623.8696313942215,1.0,0.46752795031055894,1.3248717763494655,1.0604506379993521,0.7651126594998381,1,1.0
58,194.3865506746983,0.943865506746983,0.0,0.0,0.0,798.5898362388168,1.0,0.46752795031055894,1.3217213425839758,1.056631930404819,0.7641579826012048,1,1.0
59,198.01573065979983,0.9801573065979983,0.0,0.0,0.0,702.2887574217292,1.0,0.46752795031055894,1.323517786676601,1.05880943839588,0.7647023595989699,1,1.0
60,203.6485073798068,1.036485073798068,0.0,0.0,0.0,808.6588413965314,1.0,0.46752795031055894,1.3263060111530045,1.0621891044278842,0.765547276106971,1,1.0
61,206.28686575143334,1.0628686575143336,0.0,0.0,0.0,628.6400959556447,1.0,0.46752795031055894,1.3276119985469594,1.06377211945086,0.765943029862715,1,1.0
62,210.92783821364395,1.1092783821364396,0.0,0.0,0.0,619.4235737659383,1.0,0.46752795031055894,1.3299092799157537,1.0665567029281864,0.7666391757320465,1,1.0
63,211.57340846332158,1.1157340846332158,0.0,0.0,0.0,661.8141655232512,1.0,0.46752795031055894,1.3302288371893445,1.066944045077993,0.7667360112694983,1,1.0
64,214.21961822590634,1.1421961822590636,0.0,0.0,0.0,738.0735655545287,1.0,0.46752795031055894,1.3315387110218238,1.0685317709355437,0.767132942733886,1,1.0
65,211.8684492409072,1.1186844924090722,0.0,0.0,0.0,811.5815104229084,1.0,0.46752795031055894,1.3303748823742492,1.0671210695445443,0.7667802673861361,1,1.0
66,205.51495127183918,1.0551495127183919,0.0,0.0,0.0,878.5999318583193,1.0,0.46752795031055894,1.3272299008795607,1.0633089707631036,0.765827242690776,1,1.0
67,206.15515894088654,1.0615515894088654,0.0,0.0,0.0,818.0074382618118,1.0,0.46752795031055894,1.3275468036757387,1.0636930953645318,0.765923273841133,1,1.0
68,202.7960009125917,1.0279600091259171,0.0,0.0,0.0,758.1707713429928,1.0,0.46752795031055894,1.325884020451733,1.061677600547555,0.7654194001368888,1,1.0
69,205.43351457537173,1.0543351457537171,0.0,0.0,0.0,842.3342052001096,1.0,0.46752795031055894,1.3271895897148092,1.0632601087452231,0.7658150271863058,1,1.0
70,205.0736415579964,1.050736415579964,0.0,0.0,0.0,804.7369316719262,1.0,0.46752795031055894,1.3270114525712082,1.0630441849347978,0.7657610462336994,1,1.0
71,202.71341198076618,1.0271341198076618,0.0,0.0,0.0,666.2209130037488,1.0,0.46752795031055894,1.3258431389304792,1.0616280471884596,0.7654070117971149,1,1.0
72,203.35084380889418,1.0335084380889419,0.0,0.0,0.0,569.6480090026511,1.0,0.46752795031055894,1.3261586676854025,1.0620105062853364,0.765502626571334,1,1.0
73,205.98890724201925,1.0598890724201926,0.0,0.0,0.0,513.7731786019598,1.0,0.46752795031055894,1.3274645090847996,1.0635933443452115,0.7658983360863029,1,1.0
74,209.62958449662187,1.0962958449662188,0.0,0.0,0.0,610.7346172869443,1.0,0.46752795031055894,1.3292666443258279,1.065777750697973,0.7664444376744932,1,1.0
75,211.2738686368863,1.1127386863688629,0.0,0.0,0.0,652.830267436612,1.0,0.46752795031055894,1.3300805649752587,1.0667643211821318,0.7666910802955329,1,1.0
76,209.91978167173158,1.0991978167173158,0.0,0.0,0.0,741.3127493560664,1.0,0.46752795031055894,1.3294102919275073,1.065951869003039,0.7664879672507597,1,1.0
77,211.56435329887225,1.1156435329887224,0.0,0.0,0.0,700.3249348511997,1.0,0.46752795031055894,1.330224354882942,1.0669386119793234,0.7667346529948309,1,1.0
78,209.21055409134135,1.0921055409134137,0.0,0.0,0.0,726.1139169886312,1.0,0.46752795031055894,1.329059224275214,1.0655263324548048,0.7663815831137012,1,1.0
