t,x,g,c,u,r,a,ed_proxy
25,0.07877195042574231,0.0490148860416358,0.7348916332012307,0.0,0.0,0.0,0.5199530143841454
26,0.05367516020092947,0.07909747465631951,0.7217888258952704,0.0,0.5,0.0,0.5531230996029893
27,0.0676634897912694,0.03774196766640507,0.7090373736524573,0.0,0.0,0.0,0.5316267203400915
28,0.043907698606153386,0.06718765103635682,0.6960900847953796,0.0,0.5,0.0,0.5629427346706922
29,0.02403718617098269,0.0256317215152894,0.6834753770148935,0.0,0.0,0.0,0.5888692459128583
30,0.04115898281583561,0.046786936323573156,0.6711388564084997,0.0,0.0,0.0,0.5630482525191051
31,0.05628567701176651,0.06824344366113054,0.6585626306490779,0.0,0.5,0.0,0.5399844467808885
32,0.1047023076596807,0.029468186284950997,0.6457746311709132,0.0,0.5,3.75,0.4702829639520841
33,0.0,0.009292466591983187,0.6829337988636777,0.0,0.0,0.0,0.6224400698295517
34,0.02017655686524768,0.027619822605426215,0.6709337988636777,0.0,0.0,0.0,0.592392890218205
35,0.037876615533616105,0.04749062818410894,0.6586513270675642,0.0,0.0,0.0,0.5657704373130722
36,0.01847621129440792,0.0680327028390372,0.6461210544500936,0.0,0.5,0.0,0.591051462355343
37,0.0021821630671325157,0.020221107038668407,0.6338623874919719,0.0,0.0,0.0,0.6120243298298103
38,0.022260861271468663,0.0371050269078199,0.621831837209032,0.0,0.0,0.0,0.5821095698012988
39,0.004849336204711618,0.055768728769564804,0.6095201851512314,0.0,0.0,0.0,0.6046389570860885
40,0.025230034982673722,0.06689419828017393,0.5974522944443654,0.0,0.5,0.0,0.5742957951909117
41,0.04296881985242271,0.020908450985584314,0.585099073954608,0.0,0.0,0.0,0.5476085132997994
42,0.09235044564180964,0.04745744657276059,0.5724975104766741,0.0,0.5,3.75,0.47658400267296763
43,0.0,0.021079213143697994,0.6098296042376887,0.0,0.0,0.0,0.6114744406356534
44,0.02040050504973026,0.03728495477783235,0.5978296042376887,0.0,0.0,0.0,0.581113733566031
45,0.07325284848354684,0.05546978412975778,0.5855439971669925,0.0,0.0,0.0,0.5052776116980834
46,0.11905137559431568,0.08306590662245263,0.5725184572882228,0.0,0.0,3.75,0.4392058427611915
47,0.011462435236938101,0.11668637357304691,0.6094767380299024,0.0,0.5,0.0,0.595374101372772
48,0.03207473540165466,0.058433810786763615,0.5973162639365853,0.0,0.0,0.0,0.5646928100281713
49,0.04869451485037152,0.07561366134154328,0.5848672176409622,0.0,0.5,0.0,0.5395577618556242
50,0.02831394233680881,0.03368988586415465,0.572185494433057,0.0,0.0,0.0,0.5661883048934263
51,0.00999009824107451,0.054421052569440936,0.5597890992403417,0.0,0.0,0.0,0.589982227348547
52,0.0,0.06702288668479944,0.5476492378649667,0.0,0.5,0.0,0.602147385679745
53,0.056273434847011194,0.014958767081535543,0.5356492378649667,0.0,0.0,0.0,0.5215645768939293
54,0.0686793705429788,0.04577181337014183,0.5228614097771085,0.0,0.0,0.0,0.502278092706396
55,0.07993392312099447,0.07401593589383121,0.5098998985895068,0.0,0.5,0.0,0.4845774924190338
56,0.12514947666603804,0.03987720898198026,0.4967808236658129,0.0,0.5,3.75,0.41930785621741873
57,0.01588621690345035,0.02273518576507295,0.5336537309924884,0.0,0.0,0.0,0.5778073559840429
58,0.034094115066503686,0.0424555443841879,0.52143132395584,0.0,0.0,0.0,0.5504829375002709
59,0.015127594300492736,0.06299613401099496,0.508954006344909,0.0,0.5,0.0,0.5751644689310466
60,0.0,0.015287452521134125,0.49674222002470203,0.0,0.0,0.0,0.5945113330037053
