t,x,g,c,u,r,a,ed_proxy
68,0.05352079487197525,0.06865508115208652,0.633173861124788,0.0,0.5,0.0,0.5400469663479529
69,0.032332330131788364,0.029142157313985003,0.6204245699965804,0.0,0.0,0.0,0.5677984233149834
70,0.0483595049023037,0.05165632822909691,0.6079719173747353,0.0,0.0,0.0,0.5434924807429851
71,0.027570644452334023,0.07396447032441235,0.5952948843061031,0.0,0.5,0.0,0.5706953304126479
72,0.045116079165171095,0.02726782033457829,0.5829088952837704,0.0,0.0,0.0,0.544273823461326
73,0.09431791666840414,0.05318747167399526,0.570277270175458,0.0,0.5,3.75,0.4734965071905529
74,0.0,0.02625002677309311,0.6244568193421004,0.0,0.0,0.0,0.6136685229013151
75,0.0,0.04152502195393635,0.6124568193421004,0.0,0.0,0.0,0.6118685229013151
76,0.02078897541712479,0.05405051800222781,0.6004568193421004,0.0,0.0,0.0,0.5809639573173404
77,0.03890547870076965,0.06931077886193675,0.5881657736862607,0.0,0.5,0.0,0.5537571958718616
78,0.054775616481038694,0.026172153554972846,0.5756210969844499,0.0,0.0,0.0,0.5296573014742134
79,0.06760430109123776,0.054607313870527016,0.5628542383537153,0.0,0.0,0.0,0.5097821142253245
80,0.11417723790200449,0.08100302963572921,0.5499077781384379,0.0,0.0,3.75,0.4426380336579594
81,0.007231482158802732,0.11382502139777903,0.6038092968078099,0.0,0.5,0.0,0.6004473194988477
82,0.028381750063128153,0.05507207326429146,0.5917080560575867,0.0,0.0,0.0,0.5690217583202587
83,0.08045467444631174,0.07197072009186976,0.5793107115567029,0.0,0.5,0.0,0.494260062508669
84,0.055558463705573616,0.03832511234244802,0.5661843461144546,0.0,0.0,0.0,0.5271458027293652
85,0.03350845592129981,0.06476062341014505,0.5534065276225766,0.0,0.5,0.0,0.5560991408535668
86,0.015047723937110583,0.02114574061743089,0.5409374092396784,0.0,0.0,0.0,0.5800737978739969
87,0.033342811657646285,0.04095096105119987,0.5287267411045589,0.0,0.0,0.0,0.5526290748449791
88,0.0494528862855486,0.061582062859819,0.5162599417413518,0.0,0.0,0.0,0.5282049504614348
89,0.02869954139990835,0.08236598425358324,0.5035676013333541,0.0,0.5,0.0,0.5553557822401315
90,0.04624655930473927,0.03442799702391626,0.4911658077537554,0.0,0.0,0.0,0.5289296881364284
91,0.02542617294553018,0.05933013179274875,0.47851835592348907,0.0,0.0,0.0,0.5561811112647812
92,0.04299378123721818,0.07475298957698122,0.46616238950225164,0.0,0.5,0.0,0.5297330646932323
93,0.058394958665970276,0.03161595895005696,0.4535604765649306,0.0,0.0,0.0,0.5062811293523812
94,0.07082036767278552,0.05993987641887957,0.440742947143607,0.0,0.0,0.0,0.4869629273296414
95,0.08204437385055426,0.08614758690494978,0.427751461996188,0.0,0.5,0.0,0.4693005959086523
96,0.09219496566267071,0.050331670986191845,0.41460284076228027,0.0,0.5,3.75,0.45311747418660303
97,0.0,0.02339876196771828,0.46881211124300287,0.0,0.0,0.0,0.5903218166864505
98,0.0,0.03918698481352899,0.45681211124300286,0.0,0.0,0.0,0.5885218166864504
99,0.0,0.052133327547093766,0.44481211124300285,0.0,0.0,0.0,0.5867218166864505
100,0.055990533223394784,0.06274932858861688,0.43281211124300284,0.0,0.5,0.0,0.5065350701736978
101,0.10434409581530324,0.02489217741628059,0.4200282437778753,0.0,0.5,3.75,0.43692250242525676
102,0.0,0.0054541684770228645,0.47406742643646105,0.0,0.0,0.0,0.5911101139654692
103,0.020103629201063435,0.024472418151158748,0.46206742643646104,0.0,0.0,0.0,0.5611650330839804
104,0.07275409705778657,0.0448922538922054,0.44978597562764616,0.0,0.0,0.0,0.48561216046324573
105,0.11842147629364835,0.0742726314854772,0.43676741826883714,0.0,0.0,3.75,0.4197250459292179
106,0.010753649610761654,0.10932471212856691,0.4906095176007261,0.0,0.5,0.0,0.5785363181850427
107,0.031325308195697794,0.052227139852007665,0.4784589665061754,0.0,0.0,0.0,0.5479134135019494
108,0.04793208070548825,0.07034432864561375,0.46602041219143564,0.0,0.5,0.0,0.5227981488410318
109,0.027558131650986556,0.02918604885872046,0.4533493630615588,0.0,0.0,0.0,0.5494210201478528
110,0.07925452814816412,0.05054651166038755,0.440963549218445,0.0,0.0,0.0,0.475188192975337
111,0.08911927792896851,0.08046922631707719,0.4278539858243707,0.0,0.5,0.0,0.4594111087730997
112,0.06317149431893737,0.04737339228295574,0.4146063159333651,0.0,0.0,0.0,0.49375085534349245
113,0.0752275795676623,0.07400734030856868,0.4017219150129,0.0,0.5,0.0,0.47493967585720787
114,0.08610185789405238,0.038740638149265275,0.3886687288989527,0.0,0.0,0.0,0.4577577082831696
115,0.05978366991372108,0.0724317691769701,0.375463302888436,0.0,0.5,0.0,0.4926223575540559
116,0.10779015974016257,0.03374213150440854,0.3626263315096439,0.0,0.5,3.75,0.423487726090219
117,0.03584063787512359,0.013538186171254015,0.41661726927328163,0.0,0.0,0.0,0.5323156973658193
118,0.05108017410986011,0.039703065750457955,0.4041155003430299,0.0,0.0,0.0,0.5091050812976503
119,0.06468330798373839,0.06481575570174195,0.39140037790549187,0.0,0.5,0.0,0.48815342550859003
120,0.07685914422434811,0.02867291359152561,0.37849481159371956,0.0,0.0,0.0,0.4691714198249706
121,0.08664364939117837,0.06195798375889455,0.3654187835745787,0.0,0.0,0.0,0.45351170838853716
122,0.0956907401678324,0.09160002253617634,0.3522057724831022,0.0,0.0,3.75,0.4388638296375001
123,0.0,0.11807779611994439,0.4063661021207525,0.0,0.5,0.0,0.5809549153181129
124,0.022243478126278943,0.056823792818354396,0.3943661021207525,0.0,0.0,0.0,0.5480140459413224
125,0.005209043252148618,0.07193394486135754,0.3820546934269846,0.0,0.5,0.0,0.5700155434610397
126,0.025846522149213604,0.020236005166828854,0.36998176682145456,0.0,0.0,0.0,0.5393121340143191
127,0.042612493146493444,0.04279668955261093,0.35761991551136557,0.0,0.0,0.0,0.513985496921614
128,0.02245988120748397,0.06532028378829938,0.34502334060731465,0.0,0.5,0.0,0.5403096674006197
129,0.0055565832304139,0.018953004196201644,0.3327089022704099,0.0,0.0,0.0,0.562127118817982
130,0.025138768657883784,0.03687504341618468,0.3206311101051841,0.0,0.0,0.0,0.5329003903947404
131,0.007319966870687561,0.05627084007916354,0.3082791673439737,0.0,0.0,0.0,0.5559939214826335
132,0.062364317470295416,0.0678988809138791,0.29617668780778406,0.0,0.5,0.0,0.47711645871275404
133,0.07492339176181777,0.030644518542251763,0.28330358736319994,0.0,0.0,0.0,0.4576027896379352
134,0.08501636276746606,0.0631101192274827,0.2702546598785345,0.0,0.5,0.0,0.44151529110732773
135,0.09431316424534299,0.032154224830727676,0.25706443079978997,0.0,0.5,3.75,0.4265212346764884
136,0.0,0.009001623780079012,0.31124404650035514,0.0,0.0,0.0,0.5666866069750534
137,0.05517103085182151,0.02738133149966479,0.29924404650035513,0.0,0.0,0.0,0.48764716378250317
138,0.06796733183106013,0.05569373923416229,0.2864716520684296,0.0,0.0,0.0,0.46781648324678027
139,0.1145100864201608,0.08198102581146752,0.27352010942279475,0.0,0.0,3.75,0.4007138954251941
140,0.0,0.11470686190624195,0.3274169682129125,0.0,0.5,0.0,0.5691125452319369
141,0.022179430376218598,0.0540596267631184,0.3154169682129125,0.0,0.0,0.0,0.5362613427052308
142,0.04010144303204725,0.06965195723604956,0.3031064561876454,0.0,0.5,0.0,0.5093239481832808
143,0.09081062819504558,0.026738951261251972,0.29054503598519676,0.0,0.5,3.75,0.43644687592471576
144,0.0,0.003720490801037559,0.34477368719046614,0.0,0.0,0.0,0.57171605307857
145,0.020070689325219715,0.0230508024568508,0.3327736871904661,0.0,0.0,0.0,0.5418170880232623
