t,x,g,c,u,r,a,ed_proxy
58,0.018823682492521556,0.0,0.9091734441899559,0.0,0.0,0.0,0.6300228611389632
59,0.0,0.024065915418384657,0.8981099126350607,0.0,0.0,0.0,0.6547164868952592
60,0.0,0.03973405064307542,0.8873099126350606,0.0,0.0,0.0,0.6530964868952591
61,0.018509589199497443,0.05258192152732184,0.8765099126350606,0.0,0.0,0.0,0.6255630620159628
62,0.034592609855155707,0.06711524691949536,0.8654507783862676,0.0,0.5,0.0,0.6013879629607222
63,0.04861039751717644,0.007506506202699822,0.8541664818482955,0.0,0.0,0.0,0.5800704157531973
64,0.09490121280682137,0.03665518094992397,0.842685936283055,0.0,0.0,3.75,0.5135411925129083
65,0.0,0.07055591034521107,0.9216823193037595,0.0,0.5,0.0,0.658252347895564
66,0.018904879550177337,0.0028558464830730733,0.9108823193037595,0.0,0.0,0.0,0.6301655165253157
67,0.03429482264429792,0.026425248098958225,0.8998176509900571,0.0,0.0,0.0,0.6069598959464915
68,0.04783245128096535,0.04907638513231409,0.8885375234730369,0.0,0.0,0.0,0.5863151967276041
69,0.02476531274095213,0.07057444528518607,0.8770678691551034,0.0,0.5,0.0,0.6168887425359326
70,0.040203286218001344,0.008220352685898238,0.86592115477673,0.0,0.0,0.0,0.5936035725113076
71,0.0176802521706778,0.03542459902552485,0.854558308769678,0.0,0.0,0.0,0.6234313932765028
72,0.033659337349285265,0.052867105669796785,0.8435107852392885,0.0,0.0,0.0,0.5994035454968939
73,0.08262505075060048,0.07062144351667898,0.8322395545163984,0.0,0.5,0.0,0.5291608621266192
74,0.05496326365861781,0.020756594645806464,0.82028280380589,0.0,0.0,0.0,0.5660938514488186
75,0.030534610072743773,0.04889247255982275,0.8087133181146694,0.0,0.0,0.0,0.5985585436153592
76,0.04488681062313937,0.06668730327476731,0.797485833573651,0.0,0.5,0.0,0.5767813401636526
77,0.057457921800398756,0.009379139779907297,0.786057418224927,0.0,0.0,0.0,0.5574675222131809
78,0.06753410021602024,0.040101805728410114,0.7744530073197214,0.0,0.0,0.0,0.5416202107955299
79,0.07659363184424427,0.06747084634395667,0.7627075299166972,0.0,0.5,0.0,0.5271750449055627
80,0.11973583699041132,0.01687031848040124,0.7508352190708778,0.0,0.0,3.75,0.4649951110740558
