scenario,year,pressure_mean,occupancy_mean,offload_mean,within4_mean,rr_mean,cth_nominal_mean,cth_effective_mean,effgap_mean,discharge_mean,nep_mean,cost_mean,effgap_micro_mean,effgap_macro_mean
ucc_integration,2030,1.0567778936675163,0.8951039254892463,23.927057863176763,0.5295013126112,1.1514992376358375,0.4405078125,0.39341639825861313,0.11969963830140089,0.75,1.1592740743,1.21807957396605,0.0,0.11969963830140089
aged_ndis_capacity,2025,1.0,0.92,22.0,0.53,1.0608593464590448,0.41,0.384744,0.06564364876385342,0.9765000000000001,1.0,1.0,0.0,0.06564364876385342
aged_ndis_capacity,2026,1.0102885802081092,0.9165774120000001,22.294289344000003,0.5300241521667572,1.0769256662207087,0.42,0.3903383076923077,0.07598970360622093,0.8788500000000002,1.03,1.04,0.0,0.07598970360622093
aged_ndis_capacity,2027,1.020944957911615,0.9107262258777713,22.611942799530322,0.5300276691851638,1.0936955472315426,0.4275,0.39343526809096646,0.08658283540220549,0.7909650000000003,1.0609,1.0817459771053826,0.0,0.08658283540220549
aged_ndis_capacity,2028,1.0343422731669067,0.9038614755239246,22.944142846586384,0.5298299743415286,1.112638347816862,0.433125,0.3946864698541426,0.0973901618938163,0.75,1.092727,1.1252803512945022,0.0,0.0973901618938163
aged_ndis_capacity,2029,1.0440558499459258,0.8972675105270541,23.3190687243193,0.5299162973835488,1.1299387644339616,0.43734375,0.39455853556837467,0.1084385948180947,0.75,1.1255088100000001,1.17070786773698,0.0,0.1084385948180947
aged_ndis_capacity,2030,1.0567778936675163,0.8908698754892462,23.705571463176767,0.5295934162501299,1.1508955858668448,0.4405078125,0.39341639825861313,0.11969963830140089,0.75,1.1592740743,1.21807957396605,0.0,0.11969963830140089
cumulative_cap,2025,1.0,0.92,22.0,0.53,1.0849992371313921,0.41,0.384744,0.06564364876385342,1.05,1.0,1.0,0.0,0.06564364876385342
cumulative_cap,2026,1.0102885802081092,0.9185619119999999,22.318103344,0.5300241521667572,1.0769256662207087,0.42,0.3903383076923077,0.07598970360622093,0.945,1.03,1.04,0.0,0.07598970360622093
cumulative_cap,2027,1.020944957911615,0.9144967758777713,22.681003399530315,0.5300276691851638,1.0936955472315426,0.4275,0.39343526809096646,0.08658283540220549,0.8504999999999999,1.0609,1.0817459771053826,0.0,0.08658283540220549
cumulative_cap,2028,1.0343422731669067,0.9080955255239246,23.06401204658638,0.5298299743415286,1.112638347816862,0.433125,0.3946864698541426,0.0973901618938163,0.76545,1.092727,1.1252803512945022,0.0,0.0973901618938163
cumulative_cap,2029,1.0440558499459258,0.901501560527054,23.489746524319294,0.5299076174646319,1.1300014704429127,0.43734375,0.39455853556837467,0.1084385948180947,0.75,1.1255088100000001,1.17070786773698,0.0,0.1084385948180947
cumulative_cap,2030,1.0567778936675163,0.8951039254892463,23.927057863176763,0.5295013126112,1.1514992376358375,0.4405078125,0.39341639825861313,0.11969963830140089,0.75,1.1592740743,1.21807957396605,0.0,0.11969963830140089
